user_id,/tutorial/step-three,/tutorial/step-two,/tutorial/step-one,/,/signup,/features,/tutorial/intro,/tutorial/end,/features/web,/pricing,/tutorial/step-four,/features/mobile,/features/desktop,/about
1,6,18,2,13,11,18,7,0,0,0,0,0,0,0
2,4,1,16,14,2,0,20,5,11,18,13,0,0,0
3,0,0,0,16,0,0,0,0,0,0,0,0,0,0
4,11,1,6,1,1,0,12,16,0,0,10,0,0,0
5,11,10,6,16,12,0,4,13,0,0,20,3,0,0
6,18,20,13,19,2,0,5,0,19,0,0,8,6,0
7,0,0,0,2,0,0,0,0,2,0,0,0,0,0
8,0,0,0,3,13,0,12,0,0,0,0,0,0,0
9,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10,0,0,0,4,9,0,0,0,0,0,0,8,0,0
11,0,0,0,13,0,0,0,0,0,0,0,0,0,0
12,0,0,0,2,2,0,0,0,0,0,0,1,0,0
13,0,0,14,8,14,12,10,0,2,20,0,6,13,0
14,0,0,0,2,2,0,0,0,1,0,0,0,2,0
15,0,0,0,3,18,0,4,0,0,0,0,0,0,0
16,0,0,0,7,0,0,0,0,0,0,0,0,0,0
17,8,2,7,10,14,0,19,20,9,0,10,14,0,0
18,13,3,5,17,20,8,19,5,0,0,5,0,0,0
19,0,0,0,15,6,15,0,0,0,19,0,0,0,0
20,0,0,0,2,2,0,19,0,18,1,0,0,0,0
21,2,5,5,20,10,0,17,9,0,0,17,1,0,0
22,0,0,0,17,0,0,0,0,0,0,0,0,0,0
23,16,6,14,9,3,4,12,2,9,0,4,0,0,0
24,3,3,10,6,4,0,9,9,0,0,4,0,16,0
25,18,1,4,8,3,0,16,9,3,0,15,17,5,0
26,12,13,4,6,1,0,11,8,0,0,8,0,0,0
27,0,0,0,20,0,15,0,0,0,0,0,0,5,0
28,0,0,0,12,0,0,0,0,0,0,0,0,0,0
29,2,12,3,5,15,0,7,0,5,8,0,0,0,0
30,0,0,0,17,1,0,0,0,0,0,0,0,0,0
31,6,13,15,16,20,10,14,20,0,0,9,13,11,0
32,0,0,3,12,18,0,10,0,0,0,0,0,9,0
33,0,0,0,13,2,13,5,0,0,0,0,0,0,0
34,15,2,4,19,7,0,11,5,0,0,1,0,0,0
35,0,0,0,2,14,0,0,0,0,0,0,0,0,0
36,0,0,0,2,1,0,0,0,2,0,0,1,0,2
37,17,6,12,13,8,0,6,14,0,0,16,0,20,0
38,7,17,11,7,6,0,6,7,9,0,5,0,12,0
39,0,0,0,2,2,0,0,0,2,0,0,2,2,2
40,18,3,9,7,13,0,1,1,12,0,14,0,0,0
41,0,0,0,14,17,0,0,0,0,0,0,16,8,0
42,0,0,0,9,10,20,0,0,2,0,0,0,16,0
43,0,0,0,1,1,0,0,0,1,1,0,1,0,0
44,0,0,0,19,0,0,0,0,0,0,0,0,0,0
45,0,0,0,11,4,0,0,0,0,0,0,0,0,0
46,0,0,0,11,0,0,0,0,0,0,0,0,0,0
47,14,14,19,14,1,17,13,11,14,0,17,17,0,0
48,0,0,0,12,0,0,0,0,0,0,0,0,0,0
49,0,0,0,9,0,0,0,0,0,0,0,0,0,0
50,0,0,0,11,0,0,0,0,0,0,0,0,0,0
51,0,0,0,10,0,0,0,0,0,0,0,0,0,0
52,0,0,0,2,1,1,0,0,0,0,0,1,1,0
53,0,0,0,20,0,0,0,0,0,0,0,0,0,0
54,0,0,0,9,0,0,0,0,0,0,0,0,0,0
55,0,0,0,1,2,0,0,0,0,0,0,0,2,0
56,12,8,15,8,1,11,6,0,15,0,19,0,0,0
57,14,17,6,11,5,19,10,4,0,0,3,0,0,0
58,0,0,0,1,1,0,0,0,1,0,0,2,0,0
59,5,14,14,5,6,0,15,20,6,6,10,0,0,0
60,0,0,0,2,17,0,0,0,0,20,0,0,0,0
61,0,0,0,1,3,0,0,0,0,0,0,0,0,0
62,0,0,0,1,1,0,0,0,0,0,0,0,2,0
63,7,19,4,14,10,2,4,9,0,0,7,0,8,0
64,12,7,20,10,5,0,19,16,0,0,14,0,2,0
65,9,5,1,2,11,0,5,9,10,0,19,0,0,0
66,0,12,5,2,5,19,18,0,16,0,0,20,0,0
67,0,0,0,20,0,0,0,0,0,0,0,0,0,0
68,0,0,0,10,0,0,0,0,0,0,0,0,0,0
69,15,7,14,8,5,10,20,0,0,0,0,18,6,0
70,7,12,18,10,4,0,11,8,9,1,3,15,12,0
71,15,9,12,17,11,0,7,0,0,2,0,0,0,0
72,0,0,0,19,0,0,0,0,0,0,0,0,0,0
73,20,10,10,6,18,0,8,12,0,0,5,6,0,0
74,0,11,17,3,3,1,2,0,0,0,0,15,0,0
75,0,0,0,10,7,0,0,0,0,0,0,0,20,0
76,10,1,16,3,15,0,13,17,0,0,3,0,0,0
77,0,0,9,15,6,5,3,0,0,0,0,0,0,0
78,14,3,16,16,13,0,2,20,10,0,3,20,0,0
79,0,0,0,6,0,0,0,0,0,0,0,0,0,0
80,0,0,0,12,9,0,18,0,0,0,0,0,1,0
81,3,19,8,12,9,0,5,8,16,0,10,8,10,0
82,6,5,20,16,11,0,17,0,16,3,0,0,0,0
83,0,0,0,9,0,0,0,0,0,0,0,0,0,0
84,0,0,0,12,0,18,0,0,0,0,0,0,0,0
85,0,0,0,12,0,0,0,0,0,0,0,0,0,0
86,0,0,0,9,0,0,0,0,0,0,0,0,0,0
87,0,0,0,10,0,0,0,0,0,0,0,0,0,0
88,0,0,0,6,6,0,11,0,0,15,0,4,0,0
89,0,0,0,14,0,0,0,0,0,0,0,0,0,0
90,0,19,5,5,8,19,9,0,17,0,0,0,10,0
91,0,0,20,20,15,0,18,0,0,0,0,0,18,0
92,0,0,0,1,4,0,0,0,0,0,0,17,0,0
93,0,0,0,18,11,11,0,0,1,0,0,0,0,0
94,0,0,0,1,2,1,0,0,1,0,0,0,0,0
95,0,0,0,18,0,0,0,0,0,0,0,0,0,0
